TESTCASE,Age,Term,Vehicle_Type,Milage,LOAN_PROGRAM_ID
FLCL1_ITIN_LTV3_0-20_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_0-20_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_600,2025,72,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_AB_700LTB_PaidAuto,2024,48,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_B_700_PaidAuto,2025,54,New,0,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_A_700LTB,2024,60,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_C_700STB,2025,66,New,5165,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_20.01-30_None_D_700,2024,72,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_None,2025,48,New,10,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_<600,2024,54,New,100,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_PaidAuto,2025,60,New,300,Indirect_AutoIndirect_001_000_Core_008_039
FLCL1_ITIN_LTV3_30.01-40_None_PaidAuto_600,2024,66,New,5000,Indirect_AutoIndirect_001_000_Core_008_039
