TESTCASE,Age,Term,Vehicle_Type,Milage
FLCL2_ITIN_LTV3_0-20_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_0-20_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_0-20_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_0-20_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_0-20_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_0-20_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_0-20_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_0-20_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_0-20_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_0-20_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_20.01-30_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_20.01-30_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_20.01-30_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_20.01-30_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_20.01-30_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_20.01-30_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_20.01-30_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_20.01-30_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_20.01-30_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_20.01-30_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_30.01-40_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_30.01-40_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_30.01-40_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_30.01-40_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_30.01-40_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_30.01-40_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_30.01-40_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_30.01-40_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_30.01-40_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_30.01-40_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_40.01-50_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_40.01-50_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_40.01-50_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_40.01-50_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_40.01-50_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_40.01-50_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_40.01-50_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_40.01-50_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_40.01-50_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_40.01-50_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_50.01-60_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_50.01-60_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_50.01-60_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_50.01-60_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_50.01-60_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_50.01-60_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_50.01-60_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_50.01-60_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_50.01-60_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_50.01-60_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_60.01-70_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_60.01-70_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_60.01-70_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_60.01-70_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_60.01-70_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_60.01-70_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_60.01-70_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_60.01-70_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_60.01-70_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_60.01-70_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_70.01-80_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_70.01-80_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_70.01-80_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_70.01-80_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_70.01-80_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_70.01-80_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_70.01-80_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_70.01-80_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_70.01-80_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_70.01-80_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_>80.01_None_None,2023,48,New,10
FLCL2_ITIN_LTV3_>80.01_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_>80.01_None_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_>80.01_None_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_>80.01_None_600,2022,72,New,1000
FLCL2_ITIN_LTV3_>80.01_None_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_>80.01_None_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_>80.01_None_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_>80.01_None_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_>80.01_None_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_0-20_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_0-20_Luxury_None_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_0-20_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_0-20_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_0-20_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_0-20_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_0-20_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_0-20_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_0-20_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_0-20_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_20.01-30_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_20.01-30_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_20.01-30_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_20.01-30_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_20.01-30_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_20.01-30_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_20.01-30_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_20.01-30_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_20.01-30_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_20.01-30_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_30.01-40_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_30.01-40_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_30.01-40_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_30.01-40_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_30.01-40_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_30.01-40_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_30.01-40_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_30.01-40_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_30.01-40_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_30.01-40_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_40.01-50_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_40.01-50_Luxury_<600,2022,54,New,1000
FLCL2_ITIN_LTV3_40.01-50_Luxury_PaidAuto,2023,60,New,3000
FLCL2_ITIN_LTV3_40.01-50_Luxury_PaidAuto_600,2021,66,New,5000
FLCL2_ITIN_LTV3_40.01-50_Luxury_600,2022,72,New,1000
FLCL2_ITIN_LTV3_40.01-50_Luxury_AB_700LTB_PaidAuto,2022,48,New,5000
FLCL3_ITIN_LTV3_40.01-50_Luxury_B_700_PaidAuto,2025,54,Used,35230
FLCL3_ITIN_LTV3_40.01-50_Luxury_A_700LTB,2022,60,Used,83286
FLCL3_ITIN_LTV3_40.01-50_Luxury_C_700STB,2022,66,Used,5165
FLCL3_ITIN_LTV3_40.01-50_Luxury_D_700,2022,72,Used,43376
FLCL2_ITIN_LTV3_50.01-60_Luxury_None,2023,48,New,10
FLCL2_ITIN_LTV3_50.01-60_Luxury_<600,2022,54,New,1000
