TESTCASE,Age,Term,Vehicle_Type,Milage,Total_Cash_Price,LOAN_PROGRAM_ID
CA_SSN_LTV3_0-20_None_None,2025,48,New,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_<600,2024,54,New,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_PaidAuto,2024,60,New,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_PaidAuto_600,2024,66,New,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_600,2025,72,New,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_0-20_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_20.01-30_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_30.01-40_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_40.01-50_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_B_700_PaidAuto,2021,54,Used,35230,30102,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_A_700LTB,2019,60,Used,83286,19031,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_C_700STB,2019,66,Used,5165,43000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_50.01-60_None_D_700,2017,72,Used,43376,36541,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_None,2025,48,Used,10,35295,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_<600,2024,54,Used,1000,42000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_PaidAuto,2024,60,Used,3000,29000,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_PaidAuto_600,2024,66,Used,5000,31254,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_600,2025,72,Used,1000,45122,Indirect_AutoIndirect_001_000_Core_008_039
CA_SSN_LTV3_60.01-70_None_AB_700LTB_PaidAuto,2021,48,Used,5000,31256,Indirect_AutoIndirect_001_000_Core_008_039
