INFO_ID,USE_CASE,RESULT
,CA_ITIN_LTV3_0-20_None_None,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_0-20_None_<600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_0-20_None_PaidAuto,{'line5_ltv_max': 134}
,CA_ITIN_LTV3_0-20_None_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_None_600,{'line5_ltv_max': 128}
,CA_ITIN_LTV3_0-20_None_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_None_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_None_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_0-20_None_C_700STB,{'line5_ltv_max': 131}
,CA_ITIN_LTV3_0-20_None_D_700,{'line5_ltv_max': 133}
,CA_ITIN_LTV3_20.01-30_None_None,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_20.01-30_None_<600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_20.01-30_None_PaidAuto,{'line5_ltv_max': 134}
,CA_ITIN_LTV3_20.01-30_None_PaidAuto_600,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_None_600,{'line5_ltv_max': 128}
,CA_ITIN_LTV3_20.01-30_None_AB_700LTB_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_None_B_700_PaidAuto,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_None_A_700LTB,{'line5_ltv_max': 135}
,CA_ITIN_LTV3_20.01-30_None_C_700STB,{'line5_ltv_max': 131}
,CA_ITIN_LTV3_20.01-30_None_D_700,{'line5_ltv_max': 133}
,CA_ITIN_LTV3_30.01-40_None_None,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_30.01-40_None_<600,{'line5_ltv_max': 129}
,CA_ITIN_LTV3_30.01-40_None_PaidAuto,{'line5_ltv_max': 134}
