TESTCASE,Age,Term,Vehicle_Type,Milage,LOAN_PROGRAM_ID
CA_NoITIN_LTV3_0-20_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_20.01-30_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_30.01-40_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_40.01-50_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_50.01-60_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_60.01-70_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_70.01-80_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_>80.01_None_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_0-20_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_20.01-30_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_30.01-40_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_40.01-50_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_50.01-60_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_60.01-70_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_70.01-80_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_>80.01_Luxury_<550,2024,54,Used,1000,client_008_039
CA_NoITIN_LTV3_20_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_20.01-30_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_30.01-40_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_40.01-50_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_50.01-60_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_60.01-70_Luxury&Mileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_70.01-80_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_>80.01_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_0-20_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_20.01-30_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_30.01-40_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_40.01-50_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_50.01-60_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_60.01-70_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_70.01-80_SedanMileage_<550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_>80.01_SedanMileage_>550,2024,54,Used,101900,client_008_039
CA_NoITIN_LTV3_0-20_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_20.01-30_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_30.01-40_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_40.01-50_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_40.01-50_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_60.01-70_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_70.01-80_TruckMileage_<550,2024,54,Used,151900,client_008_039
CA_NoITIN_LTV3_>80.01_TruckMileage_<550,2024,54,Used,151900,client_008_039
