INFO_ID,USE_CASE,RATE
,CA_ITIN_LTV3_0-20_None_None,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_None_<600,{'interest_rate': 18.49}
,CA_ITIN_LTV3_0-20_None_PaidAuto,{'interest_rate': 15.49}
,CA_ITIN_LTV3_0-20_None_PaidAuto_600,{'interest_rate': 15.49}
,CA_ITIN_LTV3_0-20_None_600,{'interest_rate': 18.99}
,CA_ITIN_LTV3_0-20_None_AB_700LTB_PaidAuto,{'interest_rate': 9.99}
,CA_ITIN_LTV3_0-20_None_B_700_PaidAuto,{'interest_rate': 11.49}
,CA_ITIN_LTV3_0-20_None_A_700LTB,{'interest_rate': 15.99}
,CA_ITIN_LTV3_0-20_None_C_700STB,{'interest_rate': 16.49}
,CA_ITIN_LTV3_0-20_None_D_700,{'interest_rate': 17.99}
,CA_ITIN_LTV3_20.01-30_None_None,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_None_<600,{'interest_rate': 18.99}
,CA_ITIN_LTV3_20.01-30_None_PaidAuto,{'interest_rate': 15.99}
,CA_ITIN_LTV3_20.01-30_None_PaidAuto_600,{'interest_rate': 15.99}
,CA_ITIN_LTV3_20.01-30_None_600,{'interest_rate': 19.49}
,CA_ITIN_LTV3_20.01-30_None_AB_700LTB_PaidAuto,{'interest_rate': 9.99}
,CA_ITIN_LTV3_20.01-30_None_B_700_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_20.01-30_None_A_700LTB,{'interest_rate': 16.49}
,CA_ITIN_LTV3_20.01-30_None_C_700STB,{'interest_rate': 16.99}
,CA_ITIN_LTV3_20.01-30_None_D_700,{'interest_rate': 18.49}
,CA_ITIN_LTV3_30.01-40_None_None,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_None_<600,{'interest_rate': 19.49}
,CA_ITIN_LTV3_30.01-40_None_PaidAuto,{'interest_rate': 16.49}
,CA_ITIN_LTV3_30.01-40_None_PaidAuto_600,{'interest_rate': 16.49}
,CA_ITIN_LTV3_30.01-40_None_600,{'interest_rate': 19.99}
,CA_ITIN_LTV3_30.01-40_None_AB_700LTB_PaidAuto,{'interest_rate': 10.49}
,CA_ITIN_LTV3_30.01-40_None_B_700_PaidAuto,{'interest_rate': 12.49}
,CA_ITIN_LTV3_30.01-40_None_A_700LTB,{'interest_rate': 16.99}
,CA_ITIN_LTV3_30.01-40_None_C_700STB,{'interest_rate': 17.49}
,CA_ITIN_LTV3_30.01-40_None_D_700,{'interest_rate': 18.99}
,CA_ITIN_LTV3_40.01-50_None_None,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_None_<600,{'interest_rate': 19.99}
,CA_ITIN_LTV3_40.01-50_None_PaidAuto,{'interest_rate': 16.99}
,CA_ITIN_LTV3_40.01-50_None_PaidAuto_600,{'interest_rate': 16.99}
,CA_ITIN_LTV3_40.01-50_None_600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_40.01-50_None_AB_700LTB_PaidAuto,{'interest_rate': 10.99}
,CA_ITIN_LTV3_40.01-50_None_B_700_PaidAuto,{'interest_rate': 12.99}
,CA_ITIN_LTV3_40.01-50_None_A_700LTB,{'interest_rate': 17.49}
,CA_ITIN_LTV3_40.01-50_None_C_700STB,{'interest_rate': 17.99}
,CA_ITIN_LTV3_40.01-50_None_D_700,{'interest_rate': 19.49}
,CA_ITIN_LTV3_50.01-60_None_None,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_None_<600,{'interest_rate': 20.49}
,CA_ITIN_LTV3_50.01-60_None_PaidAuto,{'interest_rate': 17.49}
,CA_ITIN_LTV3_50.01-60_None_PaidAuto_600,{'interest_rate': 17.49}
,CA_ITIN_LTV3_50.01-60_None_600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_50.01-60_None_AB_700LTB_PaidAuto,{'interest_rate': 11.49}
,CA_ITIN_LTV3_50.01-60_None_B_700_PaidAuto,{'interest_rate': 13.49}
,CA_ITIN_LTV3_50.01-60_None_A_700LTB,{'interest_rate': 17.99}
,CA_ITIN_LTV3_50.01-60_None_C_700STB,{'interest_rate': 18.49}
,CA_ITIN_LTV3_50.01-60_None_D_700,{'interest_rate': 19.99}
,CA_ITIN_LTV3_60.01-70_None_None,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_None_<600,{'interest_rate': 20.99}
,CA_ITIN_LTV3_60.01-70_None_PaidAuto,{'interest_rate': 17.99}
,CA_ITIN_LTV3_60.01-70_None_PaidAuto_600,{'interest_rate': 17.99}
,CA_ITIN_LTV3_60.01-70_None_600,{'interest_rate': 21.49}
,CA_ITIN_LTV3_60.01-70_None_AB_700LTB_PaidAuto,{'interest_rate': 11.99}
,CA_ITIN_LTV3_60.01-70_None_B_700_PaidAuto,{'interest_rate': 13.99}
