TESTCASE,Age,Term,Vehicle_Type,Milage
SC_SSN_LTV3_0-20_None_None,2021,66,New,4500
SC_SSN_LTV3_0-20_None_<600,2022,60,Used,9000
SC_SSN_LTV3_0-20_None_PaidAuto,2023,48,New,5000
SC_SSN_LTV3_20.01-30_SedanMileage_<600,2024,72,New,102365
SC_SSN_LTV3_70.01-80_SedanMileage_A_700LTB,2019,60,Used,102365
SC_SSN_LTV3_0-20_TruckMileage_PaidAuto_600,2020,66,Used,162013
SC_SSN_LTV3_20.01-30_TruckMileage_B_700_PaidAuto,2021,60,Used,162013
SC_SSN_LTV3_40.01-50_TruckMileage_AB_700LTB_PaidAuto,2022,48,Used,162013
SC_SSN_LTV3_>80.01_Luxury_B_700_PaidAuto,2023,72,Used,6000
SC_SSN_LTV3_20_Luxury&Mileage_AB_700LTB_PaidAuto,2024,60,Used,162013
SC_SSN_LTV3_20.01-30_None_None,2019,60,Used,3000
SC_SSN_LTV3_20.01-30_None_<600,2020,54,Used,9000
